Entity,Year,Gold_true,Gold_trend,Gold_trend_std,Total_true,Total_trend,Total_trend_std,Split
Jamaica,2020,4.0,4.348675298690796,0.27780512080107467,9.0,13.715114974975586,1.2334334403267893,val
Jamaica,2024,1.0,3.957382822036743,0.2737264435531211,6.0,12.596602821350098,1.169179473117131,val
Japan,1964,16.0,6.340417671203613,2.4222211041728645,29.0,18.855782127380373,6.468791596152833,train
Japan,1968,11.0,11.144478607177735,0.7351068014701997,25.0,33.062251281738284,2.1817588536531987,train
Japan,1972,13.0,12.22356071472168,0.8419158904891356,29.0,35.97727813720703,1.877813948793067,train
Japan,1976,9.0,14.45187873840332,2.1968790179484174,25.0,41.70510711669922,4.762098026234947,train
Japan,1980,0.0,12.010594940185547,1.7570615542381773,0.0,35.294412994384764,3.665574916472866,train
Japan,1984,10.0,6.971306419372558,1.3128688524809717,32.0,21.811861038208008,2.6741023161339457,train
Japan,1988,4.0,7.152448272705078,0.4541572121493875,14.0,22.182671356201173,0.8976576403537788,train
Japan,1992,3.0,5.665513610839843,0.21746979016438728,22.0,18.027126693725585,0.9383389516911127,train
Japan,1996,3.0,7.133682632446289,0.8525359875257738,14.0,22.35150260925293,1.5289263066501684,train
Japan,2000,5.0,4.774533748626709,0.19534232623466474,18.0,15.610237884521485,0.7754145267235701,train
Japan,2004,16.0,5.283540725708008,0.22470963732465432,37.0,17.07265739440918,0.7744025687920509,train
Japan,2008,9.0,9.616812896728515,0.42481425342523316,25.0,28.840146636962892,1.0559045557230595,train
Japan,2012,7.0,11.621964454650879,1.2279598306766033,38.0,34.20274124145508,2.420078381721814,train
Japan,2016,12.0,14.857857513427735,0.9924941088418219,41.0,42.672393798828125,2.074728083318909,train
Japan,2020,27.0,15.336153602600097,1.4737608759025993,58.0,43.561224365234374,3.8962254380051413,val
Japan,2024,20.0,22.349954986572264,0.5468802495248383,45.0,61.659942626953125,1.9319379635652252,val
Kazakhstan,1964,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Kazakhstan,1968,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Kazakhstan,1972,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Kazakhstan,1976,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Kazakhstan,1980,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Kazakhstan,1984,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Kazakhstan,1988,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Kazakhstan,1992,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Kazakhstan,1996,3.0,0.6206924676895141,0.16948130963684352,11.0,2.2302955627441405,0.8996627944026236,train
Kazakhstan,2000,3.0,1.653851079940796,0.3281338176382628,7.0,5.5696587562561035,1.53697100243616,train
Kazakhstan,2004,1.0,2.2297951698303224,0.2498441330373179,8.0,7.375200176239014,1.4234684927325978,train
Kazakhstan,2008,2.0,2.4274587631225586,0.1570632266657827,9.0,8.021482944488525,1.096742773451209,train
Kazakhstan,2012,3.0,2.314643669128418,0.20767107822220482,11.0,7.665661907196045,1.2815432500479085,train
Kazakhstan,2016,2.0,2.6837056159973143,0.29847219739253844,17.0,8.811324977874756,1.6120187727551702,train
Kazakhstan,2020,0.0,3.320866346359253,0.30728813346429534,8.0,10.764272689819336,1.7054120103962334,val
Kazakhstan,2024,1.0,2.7133893966674805,0.24968305860077827,7.0,8.961311340332031,1.41922578872951,val
Kenya,1964,0.0,0.6206924676895141,0.16948130963684352,1.0,2.2302955627441405,0.8996627944026236,train
Kenya,1968,3.0,0.6676949024200439,0.1798028624525253,9.0,2.3903839111328127,0.9376466183522708,train
Kenya,1972,2.0,1.5652427673339844,0.29156566001032697,9.0,5.292510986328125,1.4276126425100115,train
Kenya,1976,0.0,2.1237041473388674,0.2694308232861469,0.0,7.059257984161377,1.4527062788903522,train
