Country,Year,Gold_trend,Gold_trend_std,Total_trend,Total_trend_std,Host_prob,Gold_true,Total_true,IsHost_true,Split,n_seeds
Slovakia,1968,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,0.0,0.0,train,5
Slovakia,1972,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,0.0,0.0,train,5
Slovakia,1976,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,0.0,0.0,train,5
Slovakia,1980,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,0.0,0.0,train,5
Slovakia,1984,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,0.0,0.0,train,5
Slovakia,1988,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,0.0,0.0,train,5
Slovakia,1992,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,0.0,0.0,train,5
Slovakia,1996,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,1.0,3.0,0.0,train,5
Slovakia,2000,0.885322380065918,0.18787082526475812,3.1152231216430666,1.0282487677063767,0.03357344251126046,1.0,5.0,0.0,train,5
Slovakia,2004,1.192287564277649,0.20385748602519985,4.120606708526611,1.1220429631982056,0.03357344251126046,2.0,6.0,0.0,train,5
Slovakia,2008,1.6503019332885742,0.19693540906240303,5.577423858642578,1.1771482284269543,0.03357344251126046,3.0,6.0,0.0,train,5
Slovakia,2012,2.043356728553772,0.18199910950638448,6.794801330566406,1.1986249577649677,0.03357344251126046,0.0,4.0,0.0,train,5
Slovakia,2016,1.6442423343658448,0.11570549767294948,5.571717643737793,0.8781716551852718,0.03357344251126046,2.0,4.0,0.0,train,5
Slovakia,2020,1.6256037473678588,0.12400190343113825,5.49914779663086,0.9464161282749471,0.03357344251126046,1.0,4.0,0.0,val,5
Slovakia,2024,1.3887818574905395,0.16729762990114547,4.756685733795166,1.0429851314583432,0.03357344251126046,0.0,1.0,0.0,val,5
Slovenia,1964,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,0.0,0.0,train,5
Slovenia,1968,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,0.0,0.0,train,5
Slovenia,1972,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,0.0,0.0,train,5
Slovenia,1976,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,0.0,0.0,train,5
Slovenia,1980,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,0.0,0.0,train,5
Slovenia,1984,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,0.0,0.0,train,5
Slovenia,1988,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,0.0,0.0,train,5
Slovenia,1992,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,2.0,0.0,train,5
Slovenia,1996,0.7153530836105346,0.19032908262914094,2.5526006698608397,0.9769118706903855,0.03357344251126046,0.0,2.0,0.0,train,5
Slovenia,2000,0.7840441226959228,0.19554459281009098,2.7884859085083007,1.0022208715648846,0.03357344251126046,2.0,2.0,0.0,train,5
Slovenia,2004,1.0950116634368896,0.17258592347761498,3.7987826347351072,1.026238729307259,0.03357344251126046,0.0,4.0,0.0,train,5
Slovenia,2008,1.1005750179290772,0.16379390647558575,3.826539325714111,0.9808811629447334,0.03357344251126046,1.0,5.0,0.0,train,5
Slovenia,2012,1.3285604000091553,0.17064532709363278,4.562691020965576,1.0359569542286549,0.03357344251126046,1.0,4.0,0.0,train,5
Slovenia,2016,1.3412425756454467,0.20037634496174545,4.6131667137146,1.118690761525022,0.03357344251126046,1.0,4.0,0.0,train,5
Slovenia,2020,1.3928281545639039,0.16311924611835235,4.773370170593262,1.0176928738595434,0.03357344251126046,3.0,5.0,0.0,val,5
Slovenia,2024,1.7344136953353881,0.17275357760540713,5.826285934448242,1.1334072732688965,0.03357344251126046,2.0,3.0,0.0,val,5
South Africa,1964,1.3361592054367066,0.16332025181713156,4.613080596923828,0.9362863897863758,0.03357344251126046,0.0,0.0,0.0,train,5
South Africa,1968,0.8256932258605957,0.17353081770504453,2.9350811004638673,0.9279685487022359,0.03357344251126046,0.0,0.0,0.0,train,5
South Africa,1972,0.6948657751083374,0.16578815103579772,2.4859005928039553,0.8924748526993088,0.03357344251126046,0.0,0.0,0.0,train,5
South Africa,1976,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,0.0,0.0,train,5
South Africa,1980,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,0.0,0.0,train,5
South Africa,1984,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,0.0,0.0,train,5
South Africa,1988,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,0.0,0.0,train,5
South Africa,1992,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,2.0,0.0,train,5
South Africa,1996,0.7153530836105346,0.19032908262914094,2.5526006698608397,0.9769118706903855,0.03357344251126046,3.0,5.0,0.0,train,5
South Africa,2000,1.3549206256866455,0.21621415801404192,4.625227451324463,1.202532449994936,0.03357344251126046,0.0,5.0,0.0,train,5
South Africa,2004,1.3784268617630004,0.16821113081782904,4.727168083190918,1.0393710755341021,0.03357344251126046,1.0,6.0,0.0,train,5
South Africa,2008,1.606177067756653,0.16139071908288652,5.453643035888672,1.0374983861402565,0.03357344251126046,0.0,1.0,0.0,train,5
South Africa,2012,1.106121301651001,0.17298414386925856,3.8599886894226074,0.9682442521194359,0.03357344251126046,4.0,6.0,0.0,train,5
South Africa,2016,1.7973469495773315,0.20312489349342014,6.013746643066407,1.2154234404262965,0.03357344251126046,2.0,10.0,0.0,train,5
South Africa,2020,2.1470235109329225,0.23297093557643417,7.118001556396484,1.3678228359522622,0.03357344251126046,1.0,3.0,0.0,val,5
South Africa,2024,2.0013817310333253,0.12222931224821434,6.682890510559082,0.8655304864939168,0.03357344251126046,1.0,6.0,0.0,val,5
South Korea,1964,0.7383706331253052,0.17228035083739604,2.635056495666504,0.9184157740583115,0.03357344251126046,0.0,3.0,0.0,train,5
South Korea,1968,0.8141352891921997,0.19799558621548988,2.890020561218262,1.0131794247118013,0.03357344251126046,0.0,2.0,0.0,train,5
South Korea,1972,0.8197010040283204,0.19843925086030928,2.9096923828125,1.016096334363931,0.03357344251126046,0.0,1.0,0.0,train,5
South Korea,1976,0.8120516061782836,0.18140836351942433,2.886832332611084,0.9559263913169276,0.03357344251126046,1.0,6.0,0.0,train,5
South Korea,1980,1.1449362993240357,0.2369011145567851,3.9714776039123536,1.1937798241619442,0.03357344251126046,0.0,0.0,0.0,train,5
South Korea,1984,1.9934203147888183,1.2305040765727033,6.107045459747314,3.3825549140053526,0.03559492100030178,6.0,19.0,0.0,train,5
South Korea,1988,5.000244188308716,2.4381791066943954,14.812219429016114,6.381732610526517,0.042950436100363684,12.0,33.0,1.0,train,5
South Korea,1992,8.919151306152344,0.8634488858822271,27.482782745361327,2.6977465878693225,0.11422122865915293,12.0,29.0,0.0,train,5
South Korea,1996,12.74418773651123,0.8263624437542709,37.63038711547851,1.7817968775028978,0.08686618432402604,7.0,27.0,0.0,train,5
South Korea,2000,12.888114929199219,1.814254978897636,37.99189758300781,3.779192762645031,0.07204379811882969,8.0,28.0,0.0,train,5
South Korea,2004,10.999128150939942,1.487028907093082,32.88900451660156,2.954704753170022,0.06376401111483568,9.0,30.0,0.0,train,5
South Korea,2008,10.493103408813477,1.0749935726746496,31.44344711303711,2.0696509328722574,0.0584024831652641,13.0,32.0,0.0,train,5
South Korea,2012,12.362335014343262,1.3133979460865437,36.163693237304685,2.5937086848275595,0.05205071642994878,13.0,31.0,0.0,train,5
South Korea,2016,13.840887451171875,1.6418078235922238,39.941063690185544,3.3350629821553164,0.04806560631841414,9.0,21.0,0.0,train,5
South Korea,2020,12.915435028076171,1.9480613892686414,37.50691223144531,4.124887425494127,0.046718043833970976,6.0,20.0,0.0,val,5
South Korea,2024,9.894695949554443,1.60989831373507,29.572599029541017,3.466130874998266,0.04659397806972262,13.0,32.0,0.0,val,5
Spain,1964,0.6921931028366088,0.1783568057018936,2.4748106956481934,0.9351769426412802,0.03357344251126046,0.0,0.0,0.0,train,5
Spain,1968,0.6543103933334351,0.17200575097891496,2.345773696899414,0.9109589525521297,0.03357344251126046,0.0,0.0,0.0,train,5
Spain,1972,0.645011568069458,0.16808819834581176,2.3141171455383303,0.8970605231605525,0.03357344251126046,0.0,1.0,0.0,train,5
Spain,1976,0.6676949024200439,0.1798028624525253,2.3903839111328127,0.9376466183522708,0.03357344251126046,0.0,2.0,0.0,train,5
Spain,1980,0.7494386434555054,0.1928535356523141,2.669665050506592,0.9892643291759153,0.03357344251126046,1.0,6.0,0.0,train,5
Spain,1984,1.1559380054473878,0.2423739073407219,4.007617855072022,1.2129919030015994,0.03357344251126046,1.0,5.0,0.0,train,5
Spain,1988,2.466447877883911,1.339693003182649,7.5925802230834964,3.75961284190105,0.03559492100030178,1.0,4.0,0.0,train,5
Spain,1992,3.328738832473755,1.9971103071856087,9.809925651550293,5.0595896694080755,0.042950436100363684,13.0,22.0,1.0,train,5
Spain,1996,6.002652168273926,0.4119345342100652,19.606073760986327,1.4002350031938156,0.11353610977530475,5.0,17.0,0.0,train,5
Spain,2000,6.5818202018737795,0.5543337296451735,21.455746459960938,0.8967158724925066,0.10892507508397098,3.0,11.0,0.0,train,5
Spain,2004,6.499323844909668,1.2394739997173938,21.313539886474608,2.475244757903726,0.10595715194940562,3.0,20.0,0.0,train,5
Spain,2008,4.75554141998291,0.2277302274818053,16.381354141235352,0.4402704046405795,0.10779239572584627,5.0,19.0,0.0,train,5
Spain,2012,5.1777750015258786,0.1248393647400786,17.544199752807618,0.8705564389925999,0.10503101572394369,4.0,20.0,0.0,train,5
Spain,2016,5.857597732543946,0.22630922553900293,19.49507369995117,0.569066981103545,0.10313242375850673,7.0,17.0,0.0,train,5
Spain,2020,6.431801414489746,0.41871585601016936,20.984710693359375,0.3273294606422434,0.09815833009779448,3.0,17.0,0.0,val,5
Spain,2024,5.782631683349609,0.3848027298960272,19.152067184448242,0.26047631417850653,0.0975054737180471,5.0,18.0,0.0,val,5
Sweden,1964,7.20073127746582,1.2576189931945532,22.413702774047852,2.565450344491027,0.05123164188116782,2.0,8.0,0.0,train,5
Sweden,1968,3.5182964324951174,0.34144717722591283,11.762043380737305,0.49627417335584845,0.05385709907859558,2.0,4.0,0.0,train,5
Sweden,1972,2.179461622238159,0.04230851471912685,7.661855697631836,0.53491833005462,0.05648691635578866,4.0,16.0,0.0,train,5
Sweden,1976,3.3631731033325196,0.13026474002241506,11.344841766357423,1.0493522512253146,0.058250028826296284,4.0,5.0,0.0,train,5
Sweden,1980,3.3440612316131593,0.14391896651844913,11.29644546508789,0.6253020621669938,0.059924105182290036,3.0,12.0,0.0,train,5
Sweden,1984,3.800114154815674,0.23124645107407027,12.748664855957031,0.49609916393329084,0.061937455460429156,2.0,19.0,0.0,train,5
Sweden,1988,3.8947370529174803,0.0935088180880939,13.095529747009277,0.9175978623823464,0.06431408803910013,0.0,11.0,0.0,train,5
Sweden,1992,3.4614327907562257,0.1023858143451492,11.90110912322998,0.9531948744754976,0.06754696741700168,1.0,12.0,0.0,train,5
Sweden,1996,3.2150686264038084,0.19305878675276067,11.173330688476563,1.1617186692139247,0.07027022279798978,2.0,8.0,0.0,train,5
Sweden,2000,2.7479698181152346,0.20543715900520107,9.691025352478027,1.060101384735656,0.07242851965129372,4.0,12.0,0.0,train,5
Sweden,2004,3.442964458465576,0.1319798293569704,11.82674102783203,0.9875633107616083,0.07353671416640278,4.0,7.0,0.0,train,5
Sweden,2008,3.4871564865112306,0.12528229519667194,11.936990737915039,0.5326154118610014,0.07457221746444699,0.0,5.0,0.0,train,5
Sweden,2012,2.696458864212036,0.19004001190011874,9.540908813476562,0.2738039242273101,0.07737007848918434,1.0,8.0,0.0,train,5
Sweden,2016,2.2732890129089354,0.06895930731552846,8.254269409179688,0.426649507163261,0.07960190586745734,2.0,11.0,0.0,train,5
Sweden,2020,2.5185705184936524,0.2241787869408075,9.073078918457032,1.0372911708898276,0.08127081990242,3.0,9.0,0.0,val,5
Sweden,2024,3.0301002979278566,0.10878603946150497,10.6748779296875,0.8185371065862148,0.0824029222130775,4.0,11.0,0.0,val,5
Switzerland,1964,1.5289926052093505,0.1959550053431938,5.236160087585449,1.0595301774271233,0.03357344251126046,1.0,4.0,0.0,train,5
Switzerland,1968,1.2048760414123536,0.23341622431304934,4.174038696289062,1.1897744005178872,0.03357344251126046,0.0,5.0,0.0,train,5
Switzerland,1972,1.2777856111526489,0.21818169854839117,4.4233190536499025,1.137149012295734,0.03357344251126046,0.0,3.0,0.0,train,5
Switzerland,1976,1.118124508857727,0.18904670157267042,3.898742198944092,1.0192386064758132,0.03357344251126046,1.0,4.0,0.0,train,5
Switzerland,1980,1.2000802755355835,0.21664970472209436,4.15996789932251,1.131764751400085,0.03357344251126046,2.0,2.0,0.0,train,5
Switzerland,1984,1.2924569368362426,0.15604802448415656,4.437864017486572,1.0117934268446318,0.03357344251126046,0.0,8.0,0.0,train,5
Switzerland,1988,1.459411883354187,0.1910383106830091,4.988921070098877,1.10934691371056,0.03357344251126046,0.0,4.0,0.0,train,5
Switzerland,1992,1.3020410537719727,0.1878528295123561,4.49636058807373,1.048870237874173,0.03357344251126046,1.0,1.0,0.0,train,5
Switzerland,1996,1.1647326946258545,0.18057138122697128,4.049027633666992,1.0018210060024562,0.03357344251126046,4.0,7.0,0.0,train,5
Switzerland,2000,1.8221434354782104,0.2277848071783405,6.086040115356445,1.2960008917628223,0.03357344251126046,1.0,9.0,0.0,train,5
Switzerland,2004,2.0341899156570435,0.1867151421206371,6.776492404937744,1.214156122638753,0.03357344251126046,1.0,5.0,0.0,train,5
Switzerland,2008,2.006452202796936,0.13650924602266448,6.710015964508057,0.9670216765428528,0.03357344251126046,2.0,7.0,0.0,train,5
Switzerland,2012,1.9366171598434447,0.2269809389016627,6.491297340393066,1.2703771724169313,0.03357344251126046,2.0,4.0,0.0,train,5
Switzerland,2016,1.793387222290039,0.15583203991957953,6.026931381225586,1.0760200316464774,0.03357344251126046,3.0,7.0,0.0,train,5
Switzerland,2020,2.166676378250122,0.15542506432361367,7.174607753753662,1.1370004012902784,0.03357344251126046,3.0,13.0,0.0,val,5
Switzerland,2024,2.7576401233673096,0.24798549811821383,9.014906692504884,1.4986365459304851,0.03357344251126046,1.0,8.0,0.0,val,5
Thailand,1964,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,0.0,0.0,train,5
Thailand,1968,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,0.0,0.0,train,5
Thailand,1972,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,0.0,0.0,train,5
Thailand,1976,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,1.0,0.0,train,5
Thailand,1980,0.6676949024200439,0.1798028624525253,2.3903839111328127,0.9376466183522708,0.03357344251126046,0.0,0.0,0.0,train,5
Thailand,1984,0.6543103933334351,0.17200575097891496,2.345773696899414,0.9109589525521297,0.03357344251126046,0.0,1.0,0.0,train,5
Thailand,1988,0.6921931028366088,0.1783568057018936,2.4748106956481934,0.9351769426412802,0.03357344251126046,0.0,1.0,0.0,train,5
Thailand,1992,0.7015465259552002,0.1823306339789058,2.506655788421631,0.9495006974017731,0.03357344251126046,0.0,1.0,0.0,train,5
Thailand,1996,0.7262634754180908,0.18093037222940378,2.5918365478515626,0.9471471928457222,0.03357344251126046,1.0,2.0,0.0,train,5
Thailand,2000,0.8960626125335693,0.17777444147829322,3.153776836395264,0.9973729729635166,0.03357344251126046,1.0,3.0,0.0,train,5
Thailand,2004,1.0670886993408204,0.16793841474529278,3.7115415573120116,1.005257056478985,0.03357344251126046,3.0,8.0,0.0,train,5
Thailand,2008,1.815403366088867,0.22163533655223613,6.076388740539551,1.2789410782845319,0.03357344251126046,2.0,6.0,0.0,train,5
Thailand,2012,2.0135672330856322,0.17045400219770654,6.708990287780762,1.162020292704009,0.03357344251126046,0.0,4.0,0.0,train,5
Thailand,2016,1.6916192531585694,0.12094709040689264,5.728321647644043,0.855852777374889,0.03357344251126046,2.0,6.0,0.0,train,5
Thailand,2020,1.6814614534378052,0.18697455449633213,5.681614398956299,1.1337340551489115,0.03357344251126046,1.0,2.0,0.0,val,5
Thailand,2024,1.360240387916565,0.15097371608685503,4.6673150062561035,0.984882243219991,0.03357344251126046,1.0,6.0,0.0,val,5
Trinidad and Tobago,1964,0.6697348594665528,0.16685500053196517,2.3993156433105467,0.8946617205006074,0.03357344251126046,0.0,3.0,0.0,train,5
Trinidad and Tobago,1968,0.763663935661316,0.20103772114811508,2.7169331550598144,1.0173560760256037,0.03357344251126046,0.0,0.0,0.0,train,5
Trinidad and Tobago,1972,0.7230955362319946,0.1775823565396344,2.5819607734680177,0.9354899340930358,0.03357344251126046,0.0,0.0,0.0,train,5
Trinidad and Tobago,1976,0.6948657751083374,0.16578815103579772,2.4859005928039553,0.8924748526993088,0.03357344251126046,1.0,1.0,0.0,train,5
Trinidad and Tobago,1980,0.7846160411834717,0.16441871517761913,2.7780320167541506,0.9481708872350961,0.03357344251126046,0.0,0.0,0.0,train,5
Trinidad and Tobago,1984,0.7248416185379029,0.14545758521943367,2.57936372756958,0.8675145975297976,0.03357344251126046,0.0,0.0,0.0,train,5
Trinidad and Tobago,1988,0.6938234806060791,0.14020308121268288,2.4745019912719726,0.8364977738836858,0.03357344251126046,0.0,0.0,0.0,train,5
Trinidad and Tobago,1992,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,0.0,0.0,train,5
Trinidad and Tobago,1996,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,2.0,0.0,train,5
Trinidad and Tobago,2000,0.7153530836105346,0.19032908262914094,2.5526006698608397,0.9769118706903855,0.03357344251126046,0.0,2.0,0.0,train,5
Trinidad and Tobago,2004,0.7840441226959228,0.19554459281009098,2.7884859085083007,1.0022208715648846,0.03357344251126046,0.0,1.0,0.0,train,5
Trinidad and Tobago,2008,0.7862076997756958,0.18247401296755258,2.7979726791381836,0.9577102306359955,0.03357344251126046,1.0,2.0,0.0,train,5
Trinidad and Tobago,2012,0.9228207111358643,0.17685942539371935,3.2439267158508303,0.9952566402144735,0.03357344251126046,1.0,4.0,0.0,train,5
Trinidad and Tobago,2016,1.1232398271560669,0.1826305815338715,3.8937338829040526,1.0505442312675681,0.03357344251126046,0.0,1.0,0.0,train,5
Trinidad and Tobago,2020,0.9919577836990356,0.1345238458243659,3.4756927490234375,0.8670476588960107,0.03357344251126046,0.0,0.0,0.0,val,5
