Country,Gold_trend_2028,Gold_trend_2028_std,Total_trend_2028,Total_trend_2028_std,Host_prob_2028,IsHost2028
India,1.342390513420105,0.2515877061001169,4.630376243591309,1.257355529612146,0.03357344251126046,0
Philippines,1.3491904020309449,0.1869069084249144,4.618399047851563,1.1131000733970078,0.03357344251126046,0
Egypt,1.2947062253952026,0.19081879274473232,4.462501907348633,1.0849958890855165,0.03357344251126046,0
Argentina,1.2981392383575439,0.11483732708921128,4.457734680175781,0.8514016853747183,0.03357344251126046,0
Belarus,1.2869271993637086,0.146938734980993,4.453588199615479,0.8760703813855121,0.03357344251126046,0
North Korea,1.2390719413757325,0.1780911714817208,4.28761854171753,1.0043627543023745,0.03357344251126046,0
Portugal,1.2057130575180053,0.19390754742163294,4.167424964904785,1.09103622418886,0.03357344251126046,0
Uganda,1.1490358114242554,0.13856203138024317,3.9745957374572756,0.9480424324507692,0.03357344251126046,0
Armenia,1.132832908630371,0.19778048143514243,3.945886421203613,1.0508814187052993,0.03357344251126046,0
Tunisia,1.1254832744598389,0.16793844212531936,3.9045440673828127,1.003338092337091,0.03357344251126046,0
Slovakia,1.1124675512313842,0.11192245048205247,3.868733787536621,0.7966491974695148,0.03357344251126046,0
Dominican Republic,1.106719970703125,0.21158337519337223,3.849958801269531,1.1117255465628981,0.03357344251126046,0
Algeria,1.0724706411361695,0.17788411208463542,3.7223565101623537,1.041206861551234,0.03357344251126046,0
Morocco,0.9726842880249024,0.15017183297245915,3.4026049613952636,0.9490441649582371,0.03357344251126046,0
Lithuania,0.956290888786316,0.21323033749279596,3.3663476943969726,1.071697142516129,0.03357344251126046,0
Qatar,0.949938440322876,0.1339988432227139,3.334035110473633,0.8783259645989236,0.03357344251126046,0
Bahamas,0.943538761138916,0.09942640290143424,3.307714748382568,0.7744543093727887,0.03357344251126046,0
Malaysia,0.9167877674102783,0.1917024373577537,3.2389302253723145,0.9962699132373735,0.03357344251126046,0
Venezuela,0.9127153873443603,0.1517537726359499,3.22016019821167,0.8954776976718778,0.03357344232499594,0
Puerto Rico,0.8994861841201782,0.13521098104250096,3.1657127380371093,0.8724677234676138,0.03357344251126046,0
Mongolia,0.8587234020233154,0.1890440150489533,3.043928527832031,0.9860119003654148,0.03357344251126046,0
Moldova,0.8490195989608764,0.2157220212018859,3.004132556915283,1.0738045194884296,0.03357344251126046,0
Finland,0.8052567958831787,0.1359888011822855,2.975480079650879,0.7100816359165858,0.038785023801028676,0
Chile,0.8339934349060059,0.17544591933278264,2.944828987121582,0.986896445605969,0.03357344251126046,0
Estonia,0.785328459739685,0.1469911387239346,2.787199306488037,0.8754876436013407,0.03357344251126046,0
Pakistan,0.7846160411834717,0.16441871517761913,2.7780320167541506,0.9481708872350961,0.03357344251126046,0
Latvia,0.7599761486053467,0.14815651705375293,2.699911689758301,0.8784309383090765,0.03357344251126046,0
Singapore,0.7413732051849365,0.1497842091906032,2.6364068031311034,0.8714022803488953,0.03357344251126046,0
Nigeria,0.713201355934143,0.1734127943578658,2.548324203491211,0.9205530136323221,0.03357344251126046,0
Ghana,0.6543103933334351,0.17200575097891496,2.345773696899414,0.9109589525521297,0.03357344251126046,0
Trinidad and Tobago,0.645011568069458,0.16808819834581176,2.3141171455383303,0.8970605231605525,0.03357344251126046,0
Cameroon,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0
